OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
3264,TA WEST MEMPHIS TRAVEL CENTER,"I-40/US-63, EXIT 260 & SR-149",Earle,AR,435,3.36733333
3772,Brake Time Corner Market,"I-25, EXIT 240",Burlington                              ,CO,800,3.499
3781,REATTA TRAVEL STOP,"I-76, EXIT 149 & SR-55/CR-81",Crook,CO,475,3.38233333
5414,Pride Travel Center dba One9 #1216,"I-10 ,EXIT 200 & SR-84",Eloy,AZ,930,3.199
5999,PILOT TRAVEL STOP #492,"I-30, EXIT 78 & SR-7",Arkadelphia,AR,635,3.559
5999,PILOT TRAVEL CENTER #492,"I-30, EXIT 78 & SR-7",Arkadelphia,AR,635,3.499
7132,Terrible Herbst dba/One9 #1395,"I-15, EXIT 12",Jean,NV,910,3.459
7135,PETRO STOPPING CENTER #336,"I-81, EXIT 52 & I-76, EXIT 226",Carlisle,PA,70,4.149
9747,GOOD TO GO TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,350,3.31733333
10077,FLYING J TRAVEL PLAZA #607,"I-55, EXIT 4 & I-40, EXIT 280",West Memphis,AR,435,3.15066666
10104,GEO H GREEN OIL,"I-85/SR-403, EXIT 41 & US-27 ALT",Newnan,GA,18,3.199
52364,PILOT TRAVEL CENTERS #335,"I-20 & SR-137, EXIT 138",Rayville,LA,760,3.21233333
61099,LOVES TRAVEL STOP #488,"I-55, EXIT 157 & SR-32",Bloomsdale,MO,540,3.38233333
62097,FLASH MARKET #17046,US-65/SR-9,Clinton,AR,695,3.239
62283,Circle K #2745099,US-23 & US-341/SR-27,Hazlehurst,GA,195,3.529
62355,MINIT MART #600630,"I-39, EXIT 14",El Paso,IL,368,3.679
62355,MINIT MART #600630,"I-39, EXIT 14",El Paso,IL,368,3.599
62480,CM GALLIANO,US-167,Cut Off,LA,725,3.499
62500,CASH MAGIC VINTON,"I-10, EXIT 4 & SR-109",Vinton,LA,690,3.284
62547,MARATHON,SR-32W,Gaylord,MI,287,3.799
62550,Sunoco,"I-275, EXIT 11",New Boston                              ,MI,325,3.399
62550,Sunoco,"I-275, EXIT 11",New Boston                              ,MI,325,3.439
62559,EXPRESS FOOD DEPOT,"I-94, EXIT 266",Smiths Creek,MI,325,3.629
62701,PILOT TRAVEL CENTERS #408,"I-68, EXIT 22",Grantsville,MD,14,4.259
62768,PUMP & PANTRY #34,US-20 & SR-27,Gordon,NE,475,3.449
63501,LOVES TRAVEL STOP #407,I-81 EXIT 52B OR I-76 EXIT 226,Carlisle,PA,70,4.099
63623,PILOT TRAVEL CENTER #90,"I-95/SR-9, EXIT 129 & SR-91, EXIT 152 & SR-70",Fort Pierce,FL,95,3.519
63623,PILOT TRAVEL CENTERS #90,"I-95/SR-9, EXIT 129 & SR-91, EXIT 152 & SR-70",Fort Pierce,FL,95,3.459
63641,FLYING J TRAVEL PLAZA #625,"I-4/SR-400, EXIT 10 & SR-579",Seffner,FL,225,3.44233333
63856,PILOT #1175,"I-17, EXIT 262 & SR-69",Mayer,AZ,930,3.699
63856,PILOT TRAVEL CENTER #1175,"I-17, EXIT 262 & SR-69",Mayer,AZ,930,3.6915
64494,QUICK FUEL #1704,I-75 EXIT 42 AT MILE 42,Lincoln Park,MI,325,3.669
64494,QUICK FUEL #1704,I-75 EXIT 42 AT MILE 42,Lincoln Park,MI,325,3.619
64499,QUICK FUEL #2401,"I-71, EXIT 234",Bridgeton,MO,540,3.094
65121,BP TRAVEL CENTER AND TRUCK PLAZA,"I-275, EXIT 20",Belleville,MI,325,4.199
65423,BARNEYS CONVENIENCE MART #15,"I-75, EXIT 195 & I-90, EXIT 64 & SR-795",Rossford,OH,550,3.599
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.7865145
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.98771589
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.78456456
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.78372948
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.93248441
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.92467152
66021,LOVES TRAVEL STOP #238,"I-65, EXIT 116 & SR-480",Shepherdsville,KY,415,3.599
66236,LOVES TRAVEL STOP #309,"I-80, EXIT 332 & SR-14",Aurora,NE,330,3.289
66388,Gas n Go,"I-75, EXIT 117 AT MILE 117",Pinehurst,GA,85,3.099
66509,FOUR STAR FOOD MART,"I-75, EXIT 122",Lima,OH,411,3.144
66573,Brake Time Corner Market,"I-135, EXIT 14",Wichita,KS,570,3.299
67122,WORKMANS TRAVEL CENTER,"I-540, EXIT 24 & SR-282",Alma,AR,735,3.37233333
67139,LOVES TRAVEL STOP #383,I-71 EXIT 55 & SR-1039,Sparta,KY,415,3.749
67307,CMS FUELING CENTER,I-69 EXIT 153 AT MILE 153,Lapeer                                  ,MI,342,3.899
67371,PARAMOUNT TRAVEL PLAZA,"I-30, EXIT 46 & SR-19",Prescott,AR,635,3.379
