OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
3264,TA WEST MEMPHIS TRAVEL CENTER,"I-40/US-63, EXIT 260 & SR-149",Earle,AR,435,3.36733333
3772,Brake Time Corner Market,"I-25, EXIT 240",Burlington                              ,CO,800,3.499
3781,REATTA TRAVEL STOP,"I-76, EXIT 149 & SR-55/CR-81",Crook,CO,475,3.38233333
5414,Pride Travel Center dba One9 #1216,"I-10 ,EXIT 200 & SR-84",Eloy,AZ,930,3.199
5999,PILOT TRAVEL STOP #492,"I-30, EXIT 78 & SR-7",Arkadelphia,AR,635,3.559
5999,PILOT TRAVEL CENTER #492,"I-30, EXIT 78 & SR-7",Arkadelphia,AR,635,3.499
7132,Terrible Herbst dba/One9 #1395,"I-15, EXIT 12",Jean,NV,910,3.459
7135,PETRO STOPPING CENTER #336,"I-81, EXIT 52 & I-76, EXIT 226",Carlisle,PA,70,4.149
9747,GOOD TO GO TRAVEL CENTER,"I-80, EXIT 353 & US-81",York,NE,350,3.31733333
10077,FLYING J TRAVEL PLAZA #607,"I-55, EXIT 4 & I-40, EXIT 280",West Memphis,AR,435,3.15066666
10104,GEO H GREEN OIL,"I-85/SR-403, EXIT 41 & US-27 ALT",Newnan,GA,18,3.199
52364,PILOT TRAVEL CENTERS #335,"I-20 & SR-137, EXIT 138",Rayville,LA,760,3.21233333
61099,LOVES TRAVEL STOP #488,"I-55, EXIT 157 & SR-32",Bloomsdale,MO,540,3.38233333
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.7865145
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.98771589
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.78456456
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.78372948
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.93248441
65901,PETRO-CANADA,"TCH-16, EXIT 383",Edmonton                                ,AB,80,3.92467152
66021,LOVES TRAVEL STOP #238,"I-65, EXIT 116 & SR-480",Shepherdsville,KY,415,3.599
66236,LOVES TRAVEL STOP #309,"I-80, EXIT 332 & SR-14",Aurora,NE,330,3.289
66388,Gas n Go,"I-75, EXIT 117 AT MILE 117",Pinehurst,GA,85,3.099
66509,FOUR STAR FOOD MART,"I-75, EXIT 122",Lima,OH,411,3.144
66573,Brake Time Corner Market,"I-135, EXIT 14",Wichita,KS,570,3.299
67122,WORKMANS TRAVEL CENTER,"I-540, EXIT 24 & SR-282",Alma,AR,735,3.37233333
67139,LOVES TRAVEL STOP #383,I-71 EXIT 55 & SR-1039,Sparta,KY,415,3.749
67307,CMS FUELING CENTER,I-69 EXIT 153 AT MILE 153,Lapeer                                  ,MI,342,3.899
67371,PARAMOUNT TRAVEL PLAZA,"I-30, EXIT 46 & SR-19",Prescott,AR,635,3.379
67438,LOVES TRAVEL STOP #363,"I-75, EXIT 358 & SR-326",Ocala,FL,225,3.353
67438,LOVES TRAVEL STOPS #363,"I-75, EXIT 358 & SR-326",Ocala,FL,225,3.329
67771,DUCK THRU FOOD STORE #26,"I-95, EXIT 154 & SR-308 & SR-11/SR-42",Lewiston Woodville                      ,NC,177,3.399
68369,WORKMANS TRAVEL CENTER,"I-40 EXIT, 35 & SR-23",Ozark,AR,735,3.29733333
68972,SUNOCO CLARA BARTON PLAZA #7005,NJTP MM 5 SB,Penns Grove,NJ,115,3.899
69076,A PLUS MINI MARKET,"I-95, MM 82",Aberdeen,MD,22,3.83233333
69522,FUEL EXPRESSO 17,"I-35 & EXIT 187, SR-68",Ottawa                                  ,KS,400,3.17233333
70111,KWIK TRIP #557,"I-39, EXIT 126 & CR-V",De Forest,WI,420,3.31066666
70267,LOVES TRAVEL STOP #728,"I-5, EXIT 238 & SR-164",Albany,OR,935,3.84733333
70299,Mr Fuel dba Pilot Express #1149,"I-295, EXIT 41 & SR-105",Jacksonville,FL,75,3.239
70299,Mr Fuel Travel Center dba Pilot Express #1149,"I-295, EXIT 41 & SR-105",Jacksonville,FL,75,3.239
70971,QUARLES #4932,"I-64, EXIT 173 & SR-623",Rockville,VA,180,3.699
71123,XPRESS FUEL DBA ONE9 #1264,"I-10, EXIT 203",Eloy,AZ,930,3.139
71155,KWIK TRIP #1124,"SR-16, EXIT 184",Sussex,WI,444,3.37733333
71158,CIRCLE K #2707533,"SR-570, EXIT 3 & SR-572",Lakeland,FL,225,3.53233333
71160,CIRCLE K #4706316,"I-96, EXIT 46  & SR-6, EXIT 15",Caledonia,MI,371,3.699
71163,DANDY MINI MART #68,"I-86/SR-17, EXIT 51A & CR-64",Elmira,NY,32,3.899
71165,PALMETTO EXPRESS #115,"I-26, EXIT 125 & US-176",Gaston,SC,135,3.199
71166,MAVERIK COUNTRY STORE #616,US-50,Montrose,CO,810,3.39566666
71167,LOVES TRAVEL STOP #768,"I-55, EXIT 247",Channahon,IL,290,3.449
71172,ZIPPY JS #18,CR-577 & CR-80,Brenham,TX,670,3.199
71176,QUIKTRIP #1710,US-23/SR-365,Gainesville,GA,16,3.34566666
