name,code,latitude,longitude
Alabama,AL,33.2588817,-86.8295337
Alaska,AK,64.4459613,-149.6809090
American Samoa,AS,-14.2971240,-170.7131481
Arizona,AZ,34.3953420,-111.7632750
Arkansas,AR,35.2048883,-92.4479108
California,CA,36.7014631,-118.7559970
Colorado,CO,38.7251776,-105.6077160
Connecticut,CT,41.6500201,-72.7342163
Delaware,DE,38.6920451,-75.4013315
District Of Columbia,DC,38.8950982,-77.0363849
Federated States Of Micronesia,FM,38.9074095,-77.0395168
Florida,FL,27.7567667,-81.4639835
Georgia,GA,32.3293809,-83.1137366
Guam,GU,13.4499943,144.7651677
Hawaii,HI,19.5938015,-155.4283701
Idaho,ID,43.6447642,-114.0154070
Illinois,IL,40.0796606,-89.4337288
Indiana,IN,40.3270127,-86.1746933
Iowa,IA,41.9216734,-93.3122705
Kansas,KS,38.2731200,-98.5821872
Kentucky,KY,37.5726028,-85.1551411
Louisiana,LA,30.8703881,-92.0071260
Maine,ME,45.7090970,-68.8590201
Marshall Islands,MH,57.0324848,-135.2721088
Maryland,MD,39.5162401,-76.9382069
Massachusetts,MA,42.3788774,-72.0323660
Michigan,MI,43.6211955,-84.6824346
Minnesota,MN,45.9896587,-94.6113288
Mississippi,MS,32.9715285,-89.7348497
Missouri,MO,38.7604815,-92.5617875
Montana,MT,47.3752671,-109.6387570
Nebraska,NE,41.7370229,-99.5873816
Nevada,NV,39.5158825,-116.8537220
New Hampshire,NH,43.4849133,-71.6553992
New Jersey,NJ,40.0757384,-74.4041622
New Mexico,NM,34.5802074,-105.9960470
New York,NY,40.7127281,-74.0060152
North Carolina,NC,35.6729639,-79.0392919
North Dakota,ND,47.6201461,-100.5407370
Northern Mariana Islands,MP,15.1753648,145.7379338
Ohio,OH,40.2253569,-82.6881395
Oklahoma,OK,34.9550817,-97.2684063
Oregon,OR,43.9792797,-120.7372570
Palau,PW,-14.2542045,-170.5863349
Pennsylvania,PA,40.9699889,-77.7278831
Puerto Rico,PR,18.2247706,-66.4858295
Rhode Island,RI,41.7962409,-71.5992372
South Carolina,SC,33.6874388,-80.4363743
South Dakota,SD,44.6471761,-100.3487610
Tennessee,TN,35.7730076,-86.2820081
Texas,TX,31.2638905,-98.5456116
Utah,UT,39.4225192,-111.7143580
Vermont,VT,44.5990718,-72.5002608
Virgin Islands,VI,17.7891870,-64.7080574
Virginia,VA,37.1232245,-78.4927721
Washington,WA,38.8950982,-77.0363849
West Virginia,WV,38.4758406,-80.8408415
Wisconsin,WI,44.4308975,-89.6884637
Wyoming,WY,43.1700264,-107.5685340
