statecode,latitude,longitude
OK,36.565892,-95.221168
WI,43.977599,-90.504988
AZ,32.94488,-112.729639
AZ,32.94488,-112.729639
AR,35.305314,-94.407328
NJ,40.897443,-75.070481
VA,38.791443,-78.657112
TX,30.774769,-97.627527
AL,34.16485,-85.483777
IN,38.957771,-85.836451
IA,41.232733,-95.883373
ND,46.892509,-98.681017
CO,38.49132,-107.890912
DE,38.560101,-75.556293
DE,39.656521,-75.613516
FL,27.552979,-82.51072
CO,39.740439,-104.810495
GA,33.527866,-82.909225
MI,43.379266,-83.876605
MI,43.379266,-83.876605
MI,43.379266,-83.876605
MI,43.379266,-83.876605
MI,43.379266,-83.876605
MI,43.379266,-83.876605
AZ,34.916339,-110.154355
AZ,29.436266,-98.37867
KY,37.883672,-87.563724
IL,39.121233,-88.568209
IL,39.121233,-88.568209
IL,39.121233,-88.568209
IL,41.329021,-105.610322
IL,41.329021,-105.610322
IL,41.329021,-105.610322
IN,40.113924,-85.568664
IN,41.143297,-85.123898
NE,40.914272,-100.1669
FL,33.661632,-114.236785
FL,33.661632,-114.236785
LA,30.451874,-90.956961
IN,41.586441,-87.239128
IN,41.288279,-87.294584
TX,31.63063,-94.684839
IA,41.118558,-102.949307
WY,44.2649,-104.94513
IA,42.746245,-93.392664
IA,43.13301,-93.353
IA,41.492912,-94.347915
AR,35.16494,-90.175794
CO,40.500707,-103.260844
KS,38.879141,-97.613865
IN,39.614255,-119.263645
IN,39.614255,-119.263645
OH,39.006184,-83.784637
MS,30.451092,-88.759291
KS,38.87923,-97.61166
KY,37.380777,-84.330167
FL,29.267799,-82.191606
FL,29.267799,-82.191606
LA,30.354298,-91.259436
IN,41.144474,-87.395574
LA,30.242911,-92.193204
LA,29.982686,-90.057508
KS,38.899866,-99.316898
AR,35.16494,-90.175794
MD,39.693133,-79.161336
MT,47.470117,-111.357533
MI,41.940472,-86.568882
KS,37.744122,-99.976788
MI,39.684902,-111.836996
MI,39.684902,-111.836996
MI,39.684902,-111.836996
MI,39.684902,-111.836996
MI,39.684902,-111.836996
IN,38.955349,-87.40701
IN,39.296125,-85.958099
KS,39.019971,-95.135161
KS,37.266782,-95.535774
KS,38.095391,-96.579511
MA,42.129177,-72.608271
KS,39.144174,-94.669547
NE,41.118558,-102.949307
UT,39.687072,-111.834716
FL,30.084552,-81.498116
IN,41.572427,-87.127339
NY,42.948168,-74.186091
NY,42.948168,-74.186091
NY,42.948168,-74.186091
NY,42.948168,-74.186091
FL,29.615134,-82.341351
NY,41.577698,-74.085205
NY,41.577698,-74.085205
IN,41.574288,-87.47548
TX,31.9377,-95.2504
AZ,32.695229,-114.624932
OH,40.265847,-82.924148
