statecode,longitude,latitude
OK,-95.221168,36.565892
WI,-90.502075,44.019195
AZ,-112.729639,32.94488
AZ,-112.729639,32.94488
AR,-94.407328,35.305314
NJ,-75.070481,40.897443
VA,0.0,0.0
TX,-97.627527,30.774769
AL,-85.483777,34.16485
IN,-85.836451,38.957771
IA,-95.883373,41.232733
ND,-98.681017,46.892509
CO,-107.890912,38.49132
DE,-75.556293,38.560101
DE,0.0,0.0
FL,-82.51072,27.552979
CO,-104.810495,39.740439
GA,0.0,0.0
MI,-83.876605,43.379266
MI,-83.876605,43.379266
MI,-83.876605,43.379266
MI,-83.876605,43.379266
MI,-83.876605,43.379266
MI,-83.876605,43.379266
AZ,-110.154355,34.916339
AZ,-98.37867,29.436266
KY,-87.563724,37.883672
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,-90.018042,41.410833
IL,-90.018042,41.410833
IL,-90.018042,41.410833
IN,-85.568664,40.113924
IN,0.0,0.0
NE,-98.720558,40.721513
FL,-81.983883,30.283962
FL,-81.983883,30.283962
LA,0.0,0.0
IN,0.0,0.0
IN,-87.294584,41.288279
TX,0.0,0.0
IA,-102.949307,41.118558
WY,0.0,0.0
IA,-93.392664,42.746245
IA,-93.353,43.13301
IA,0.0,0.0
AR,-90.175794,35.16494
CO,-103.260844,40.500707
KS,-97.613865,38.879141
IN,0.0,0.0
IN,0.0,0.0
OH,0.0,0.0
MS,-88.759291,30.451092
KS,0.0,0.0
KY,-84.330167,37.380777
FL,-82.191606,29.267799
FL,-82.191606,29.267799
LA,-91.259436,30.354298
IN,-87.395574,41.144474
LA,-92.193204,30.242911
LA,-90.057508,29.982686
KS,0.0,0.0
AR,-90.263199,35.149232
MD,0.0,0.0
MT,0.0,0.0
MI,-86.568882,41.940472
KS,-99.976788,37.744122
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
MI,0.0,0.0
IN,-87.40701,38.955349
IN,-85.958099,39.296125
KS,-95.135161,39.019971
KS,-95.535774,37.266782
KS,-96.579511,38.095391
MA,-72.608271,42.129177
KS,-94.669547,39.144174
NE,-102.949307,41.118558
UT,0.0,0.0
FL,-81.498116,30.084552
IN,0.0,0.0
NY,-74.186091,42.948168
NY,-74.186091,42.948168
NY,-74.186091,42.948168
NY,-74.186091,42.948168
FL,-82.341351,29.615134
NY,0.0,0.0
NY,0.0,0.0
IN,-87.47548,41.574288
TX,-95.271824,31.966735
AZ,-114.624932,32.695229
OH,-82.923952,40.265998
OH,-81.906855,41.029703
OH,-82.535825,39.937772
OH,0.0,0.0
OK,-99.411519,35.411849
OK,-98.959506,35.51533
GA,0.0,0.0
NE,-102.897572,42.096228
VA,-77.465718,37.939278
IN,0.0,0.0
MO,-95.631547,40.55518
SC,-81.388577,33.871196
SC,-80.824165,33.558839
CO,-105.8568,37.4736
MS,-88.507069,32.418385
ND,0.0,0.0
OK,0.0,0.0
TX,0.0,0.0
MT,-109.744686,46.982709
TN,-84.036137,36.129733
TN,-85.948416,36.177235
TX,-104.819157,31.04009
TX,-104.819157,31.04009
OH,0.0,0.0
GA,-83.816439,34.262833
MS,-88.658648,33.591959
IN,-86.821793,41.43298
IL,-102.949307,41.118558
IL,-102.949307,41.118558
IL,-102.949307,41.118558
IL,-102.949307,41.118558
AR,-92.382501,34.884152
IN,0.0,0.0
AZ,-111.509194,32.721034
IN,0.0,0.0
IN,0.0,0.0
LA,-98.37867,29.436266
OR,0.0,0.0
WY,-110.977972,41.264331
WA,-119.788602,46.220621
WA,-119.788602,46.220621
AL,0.0,0.0
MO,-93.5686,38.98218
NE,-102.949307,41.118558
NH,0.0,0.0
NY,-74.221136,41.503427
OH,-80.94799,41.803943
AB,-116.422119,53.583992
AB,-116.422119,53.583992
AB,-116.422119,53.583992
AB,-116.422119,53.583992
AB,-116.422119,53.583992
AB,-116.422119,53.583992
OR,-123.058988,44.666573
TN,-82.445164,36.120874
TN,-84.149996,35.904872
AB,-113.765402,50.341558
AB,-113.765402,50.341558
AB,-113.765402,50.341558
AB,-113.765402,50.341558
AB,-113.765402,50.341558
AB,-113.765402,50.341558
TX,-98.37867,29.436266
NJ,0.0,0.0
SD,-97.046237,45.311198
NY,0.0,0.0
KS,-97.401045,37.664933
IA,-92.408231,40.943409
KY,-82.927845,38.728397
CO,-104.689006,40.385082
MO,0.0,0.0
WI,0.0,0.0
IL,-87.876765,42.308626
IL,-87.876765,42.308626
IL,-87.876765,42.308626
GA,0.0,0.0
AR,-99.61514,35.31495
AR,-99.61514,35.31495
AL,-86.789487,33.331286
AL,0.0,0.0
AR,-92.427556,35.096194
AZ,0.0,0.0
AZ,-114.236785,33.661632
AZ,-114.236785,33.661632
ID,-112.343122,43.222022
AZ,-114.624932,32.695229
DE,-75.538003,39.718695
DE,-75.538003,39.718695
FL,-82.637167,30.189539
FL,-82.63913,30.19191
FL,-82.64069,30.1735
FL,0.0,0.0
GA,0.0,0.0
GA,0.0,0.0
GA,-82.502329,33.511269
IA,0.0,0.0
IA,0.0,0.0
ID,-114.297033,42.574979
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,0.0,0.0
IL,-88.913136,38.14715
IL,-119.263645,39.614255
IL,-119.263645,39.614255
IL,-119.263645,39.614255
IL,-89.65292,39.590593
IN,-110.148456,38.996294
IN,-110.148456,38.996294
IN,-85.554763,39.840144
TX,-97.527099,30.175876
IN,0.0,0.0
IN,0.0,0.0
IN,-87.010405,41.44834
IN,-87.010405,41.44834
KS,-96.21569,38.423324
KY,-119.263645,39.614255
KY,-85.723724,37.82723
LA,-91.294275,30.74897
MA,-71.72413,42.516921
MD,-76.066468,39.59334
IL,-88.568209,39.121233
IL,-88.568209,39.121233
IL,-88.568209,39.121233
IL,-88.568209,39.121233
MI,-85.650958,42.376532
MI,-85.650958,42.376532
MI,0.0,0.0
MI,0.0,0.0
MN,-92.988931,43.666381
MN,-94.47208103723824,46.332717994228005
MO,-91.178814,39.332288
MO,-94.316141,37.49421
MO,-91.626127,39.686023
MO,-93.25122,38.67195
MO,-91.896589,36.795443
MS,-88.499077,34.91241
MS,0.0,0.0
MS,-89.566264,34.828295
NC,-79.313953,36.067417
NC,0.0,0.0
NC,-77.956359,34.252938
NC,0.0,0.0
NE,-98.318696,40.931882
NJ,-74.70104,40.154096
NJ,-74.301134,40.893222
NJ,-74.15689,41.096196
NJ,-75.037032,40.002793
NM,-107.899763,35.183304
IN,0.0,0.0
OH,-81.405739,40.75104
OH,0.0,0.0
OH,0.0,0.0
OH,0.0,0.0
OK,0.0,0.0
OK,0.0,0.0
IN,-87.451689,40.120451
PA,0.0,0.0
PA,-77.206717,39.897846
IN,0.0,0.0
PA,0.0,0.0
SC,-80.686881,34.19259
WY,-119.263645,39.614255
SC,-81.859049,35.151452
GA,0.0,0.0
SC,-79.758025,34.25337
SC,-82.032462,35.026873
SC,-81.220718,34.025657
SC,-81.926221,33.488076
SC,-82.109447,34.913925
TN,0.0,0.0
TN,-85.290762,35.018588
TN,-90.054194,35.170724
TX,-102.011289,35.187837
IN,-85.742573,39.529921
TX,-102.27388,33.19038
TX,-99.183314,28.668156
TX,-101.972824,35.847659
TX,-98.618351,27.883159
CO,-102.875492,39.292157
NY,-79.140128,42.554413
NY,-79.140128,42.554413
TN,0.0,0.0
IA,-93.639374,41.596055
MT,0.0,0.0
TX,-102.011134,35.189218
TX,-102.557715,32.353636
IN,-87.249244,41.58046
NM,-108.413314,35.468946
PA,0.0,0.0
NY,-76.13057,42.58804
NY,-76.13057,42.58804
MS,-88.851053,31.126746
WA,-122.18846,48.099483
MD,0.0,0.0
WV,0.0,0.0
AL,0.0,0.0
TX,0.0,0.0
CO,-104.906003,39.784878
SC,0.0,0.0
NM,0.0,0.0
TX,-98.615226,29.309589
WI,-87.945335,42.870852
TX,-100.552635,32.430471
IN,-86.312298,41.36063
IN,-87.508041,41.62863
IL,-87.778003,41.80596
IL,-87.778003,41.80596
TX,0.0,0.0
